Experiment,rev,typ,Created,parent,State,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\data_test_20180101_20190930.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
gruff-flux,aeaa10f,branch_commit,2023-12-16T14:33:06,,,0.8123703,0.0080896,1.0832219,1.1391609,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.6752814,0.008814,0.8493983,0.945594,start 2018-01-14 07:59:00,end 2019-09-15 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,21,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,94c43a494cc002298dd89020f5fc2a90,25e64009bbe2b3c943d7d3430dfde601,e91e03337a79eb71abc103e5be7e47b6,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
comic-veep,9e6c9f8,branch_commit,2023-12-16T14:32:13,,,0.6907913,0.008091,0.9860715,0.9730309,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.6175132,0.0087758,0.7046446,0.8669229,start 2018-01-14 07:59:00,end 2019-09-22 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,14,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,04fb06d7ed4935ce7ad1ce85758ced70,92da36bc6c815f0ff179a96e50d7837c,61f3e05dfbff66726d2c988b2b71366a,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
tacit-rins,b4190c5,branch_commit,2023-12-16T14:31:20,,,0.9546666,0.0080932,1.6992976,1.3588745,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,1.0081526,0.0087994,2.2372334,1.4389256,start 2018-01-14 07:59:00,end 2019-09-26 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,10,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,d3457617072454625618ad516f1164f3,aca9f88e40ae31d95af2d9d893b0fff4,640406391affb88d348cdf1bec26d404,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
leady-prow,4a5e47c,branch_commit,2023-12-16T14:30:22,,,0.7091994,0.0080899,0.9267044,0.9945036,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.7884997,0.00879,1.358018,1.1105927,start 2018-01-14 07:59:00,end 2019-09-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,7,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,062953e38db3ced89499cf261ccb582f,8579dc13ddce627c7ed261fa9eb1a220,0ebecefb221b156e9d89d45d4b844029,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
pudgy-vlei,98e35ff,branch_commit,2023-12-16T14:29:21,,,0.698723,0.0080916,0.8610343,0.9898608,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9001302,0.0087981,1.6870718,1.2809241,start 2018-01-14 07:59:00,end 2019-09-26 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,5,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,f87abecf248bdfc84b2a812fba13ca4a,2e490749fa6b4e204a2b61db73d60094,0fa81601a65b72733b6e6ba994ebac50,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
loose-quiz,f2f1c35,branch_commit,2023-12-16T14:28:13,,,0.8129486,0.0080901,1.1767026,1.1598761,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.7651838,0.0087855,1.237176,1.0912711,start 2018-01-14 07:59:00,end 2019-09-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,3,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,4e5f738309eba0e74c90814be1f3ed15,1b991aed5db3bb4948f1090d1a3b3f38,333e04407fb524b541c4c62cbae49cf9,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
barer-omer,7b39ba3,branch_commit,2023-12-16T14:26:59,,,0.7719709,0.0080897,1.0660192,1.1008648,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.8080131,0.0087856,1.3860871,1.1525548,start 2018-01-14 07:59:00,end 2019-09-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,2,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,124b2a8a5006260403ff956f527d2381,136cb9beea8adde2cfa81a436b67362e,4f4889ac40eaba1ebb6a8d081d02c0db,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
cushy-kind,94ebf1a,branch_commit,2023-12-16T14:25:45,,,0.6171797,0.0080898,0.6527764,0.8788852,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.6422547,0.0087858,0.8389739,0.9134585,start 2018-01-14 07:59:00,end 2019-09-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,1,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,43617b3bffa03ff1b63d678940cdb686,1932f204569441fd1a1f28f658fc4b7f,fb05abef060528c098a39e37b2b6ee94,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
pupal-suer,78f6b7c,branch_commit,2023-12-16T14:24:07,,,1.1367245,0.0080913,3.0196576,1.6163061,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,1.0785197,0.0087936,3.1870838,1.5313404,start 2018-01-12 07:59:00,end 2019-09-20 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,28,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,1507a3a96c71d8e59a65ac416161d0d5,d20301935205ece47893779e8f392d6e,08b27f01ec30dfade0cad705ae27354c,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
later-rime,0f3d979,branch_commit,2023-12-16T14:23:16,,,0.4136236,0.0080919,0.2080837,0.5813488,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.5725556,0.008835,0.4643034,0.8064886,start 2018-01-12 07:59:00,end 2019-09-13 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,21,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,9f71642a9df40fd754b4619d0d6548ab,0d566ea241329389af62131a0f24b3b3,83367d311a2be3309f67290fea09677e,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
rummy-sook,c526c9f,branch_commit,2023-12-16T14:22:29,,,1.0386315,0.0080895,2.2725339,1.4809353,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9866745,0.0087923,2.4046954,1.4039451,start 2018-01-12 07:59:00,end 2019-09-20 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,14,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,75116305e386b3d6303d31d5a90aee43,5c38a034553d2d61e671203fa842098b,9ee9c48e27c14eb9f526f4ac48776c45,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
beamy-sida,c0796cd,branch_commit,2023-12-16T14:21:32,,,0.9253911,0.0080918,1.4703327,1.3041799,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9772987,0.008769,1.9296533,1.3794986,start 2018-01-12 07:59:00,end 2019-09-24 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,10,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,e3150f8863a1da40814c28f5eb555f52,bcac7a135e1c728dbcf4b20cb5629e98,b7a66c6998d565459d8ec2690d847cac,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
lucid-lama,7d7ce9e,branch_commit,2023-12-16T14:20:39,,,0.7774279,0.0080903,1.2491954,1.102581,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9386135,0.0088047,2.1462282,1.3362473,start 2018-01-12 07:59:00,end 2019-09-27 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,7,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,80594ceb323d119f525a489350024119,62b1a71f53bc50cd7aedf4cae31df55c,0fa00f59c2688c7f8b8d4fafe135bd16,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
bumpy-grot,e84d26a,branch_commit,2023-12-16T14:19:40,,,0.3559641,0.0080924,0.1913643,0.4991737,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.3233784,0.0087968,0.1879169,0.4541435,start 2018-01-12 07:59:00,end 2019-09-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,5,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,26500fabd2a764eb5bbd2b1b3e14df7b,28f4cae71e943e24c71aad1fc18157e2,ea785d33b60fe626d6190c92859ca3b9,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
umber-wine,d8b2310,branch_commit,2023-12-16T14:18:30,,,0.1862872,0.0080911,0.0522592,0.2614118,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.300339,0.0088019,0.1614866,0.4224473,start 2018-01-12 07:59:00,end 2019-09-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,5c29744c265c7703c6c9f97980b4d937,c67265a42e4b76b86b1bc4cc628165d0,fc03fe4936e4c166d7be5eb88737b16c,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
bovid-zone,224dde4,branch_commit,2023-12-16T14:17:16,,,0.4252548,0.0080918,0.3464582,0.597251,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.4164438,0.0087934,0.3958354,0.5855849,start 2018-01-12 07:59:00,end 2019-09-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,0b707200255fe75f332a955358547146,2d02328b5d42433256e076118bf54942,fb048a9faec235209300dcc750ab7d48,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
jowly-gigs,58980d5,branch_commit,2023-12-16T14:16:03,,,0.5139709,0.0080934,0.4507077,0.7243313,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.5671828,0.008794,0.653815,0.8012549,start 2018-01-12 07:59:00,end 2019-09-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,1,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,3bf98c837f93d7dfc8fffb0d31e7cd7a,63c86d50617416fa2ec9ac66ab5982bf,a328c4dc30fdf07b592c1533948fd117,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
oaten-hull,ad9b37f,branch_commit,2023-12-16T14:14:26,,,0.9898001,0.0080915,2.2316326,1.406476,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9620339,0.0088142,2.4774642,1.3652328,start 2018-01-11 07:59:00,end 2019-09-19 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,28,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,15e1d3b58ea43dd6875b6ee1ed879d58,e31ad7dae140a6d2e2364197ba2eac7f,8748fdf3afc5e60bee6d8be6465a61d0,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
kacha-mean,7a2af55,branch_commit,2023-12-16T14:13:26,,,0.2825163,0.008092,0.097078,0.396513,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.4321584,0.0088566,0.2651623,0.6079009,start 2018-01-11 07:59:00,end 2019-09-12 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,21,37,30,a0274a73bfe042de8649f94190dfaaa6,b4b61b05b1df7f1497426998966033ac,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,913eb065a4ee5581015cc999d2d6514b,c57fa27a1f503a8b0a6dae911bc80321,ff43b50eee6a6a96e069dc331a1ece9d,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
